SR:0.300000, AS:252.200000, SPL:0.024097, AR:0.073896
0c9a666391cc08db7d6ca1a926183a76 tv_stand 11 -1 2
0c9a666391cc08db7d6ca1a926183a76 tv_stand 9 -8 0
0c9a666391cc08db7d6ca1a926183a76 tv_stand 24 -1 3
0c9a666391cc08db7d6ca1a926183a76 tv_stand 26 -2 3
0c9a666391cc08db7d6ca1a926183a76 toilet 21 -11 1
0c9a666391cc08db7d6ca1a926183a76 sofa 5 1 0
0c9a666391cc08db7d6ca1a926183a76 tv_stand 25 1 3
0c9a666391cc08db7d6ca1a926183a76 toilet 11 1 2
0c9a666391cc08db7d6ca1a926183a76 tv_stand 22 -3 0
0c9a666391cc08db7d6ca1a926183a76 tv_stand 11 -8 2
