SR:0.310000, AS:207.806452, SPL:0.035216, AR:0.086086
0880799c157b4dff08f90db221d7f884 sofa 5 6 1
0880799c157b4dff08f90db221d7f884 tv_stand -4 6 0
0880799c157b4dff08f90db221d7f884 television -7 -6 0
0880799c157b4dff08f90db221d7f884 bed 6 3 3
0880799c157b4dff08f90db221d7f884 television -4 5 3
0880799c157b4dff08f90db221d7f884 sofa 8 6 1
0880799c157b4dff08f90db221d7f884 sofa 1 1 0
0880799c157b4dff08f90db221d7f884 tv_stand 7 6 3
0880799c157b4dff08f90db221d7f884 television 0 5 2
0880799c157b4dff08f90db221d7f884 bed 4 -7 0
0880799c157b4dff08f90db221d7f884 television -1 4 0
0880799c157b4dff08f90db221d7f884 toilet -8 1 3
0880799c157b4dff08f90db221d7f884 television 8 4 0
0880799c157b4dff08f90db221d7f884 television 4 -8 2
0880799c157b4dff08f90db221d7f884 bed 1 -3 0
0880799c157b4dff08f90db221d7f884 sofa -4 6 3
0880799c157b4dff08f90db221d7f884 television -8 -1 1
0880799c157b4dff08f90db221d7f884 bathtub 5 -2 1
0880799c157b4dff08f90db221d7f884 television -4 0 0
0880799c157b4dff08f90db221d7f884 toilet 4 2 0
0880799c157b4dff08f90db221d7f884 bathtub 0 2 1
